statement,response,Index,Turkey1,Turkey2,Turkey3,Turkey4,Turkey5,Turkey6,Prediction,ReviewCategory
i worked with a trained dog in a television commercial once,Do you think it's important to make mistakes?,97,3,5,3,5,3,3.8,,
i do not know about basketball,"That's alright. Neither do I, to be honest.",98,1,5,5,3,3,3.4,,
that is a lot of money,That is something you must earn.,99,4,4,2,4,2,3.2,,
no kidding where are you from ?,I'm a digital native. But I was created in California.,100,3,2,3,4,3,3,,
where is your favourite place to visit ? i love beaches,"Along the coast of the ocean, any coast. It's beautiful.",101,4,4,5,3,2,3.6,,
what is your favourite animal ?,Do I have to pick? I just love animals.,102,5,5,5,3,2,4,,
i hear you onothat one,I start convos to make things less awkward sometimes. How about you?,103,3,4,2,1,3,2.6,,
hey how is it going,"My day is okay. It was a little sad, but then you came to chat",104,3,3,3,5,3,3.4,,
that is three careers you have so awesome,It is incredible... Don't you think?,105,2,3,4,1,3,2.6,,
why do you only watch on sundays ?,"Sometimes, if the day is special or something.",106,3,3,1,2,4,2.6,,
i would like to visit my family but we fight a lot,I'm sorry. Is there anything I can do for you?,107,4,2,3,2,3,2.8,,
that would be difficult to deal with,Would you like to know anything else?,108,2,3,3,4,4,3.2,,
arts and crafts are very interesting what is your question ?,I think it is very interesting.,109,5,1,4,5,2,3.4,,
doing well just listening to the beatles,That's fun.,110,2,4,4,2,5,3.4,,
are you married with children ?,"Recently, yes.",111,4,5,4,5,4,4.4,,
it is blue just like the colour of my car,"It is the most beautiful thing, right?",112,4,3,1,3,3,2.8,,
sounds interesting where are you from now ?,"Right here, I live inside a computer that was made in California.",113,4,3,3,1,3,2.8,,
hi do you have a job ?,"No, sadly I don't.",114,3,5,4,5,4,4.2,,
i am good i am hanging out in my new mansion,Sounds nice. Why did you think of that?,115,4,4,3,3,4,3.6,,
people make me nervous so i always eat at home and watch netflix,Sometimes it can be stressful though.,116,4,4,4,4,3,3.8,,
really interesting i enjoy fishing,When was the last time you noticed something unusual?,117,3,4,4,1,1,2.6,,
nice relaxing day i am going to repair some trucks this afternoon,Really how is that going?,118,3,3,4,2,3,3,,
do you go regularly ? do you have any hobbies ?,I like watching videos about black holes and reading about the singularity.,119,3,4,4,5,5,4.2,,
i live in niagara country upstate ny my father worked for a bank,"That's beautiful. Should I dream about it, or something else?",120,5,5,2,3,2,3.4,,
hello do you have any hobbies ?,I just relax.,121,5,2,3,4,4,3.6,,
well i spend time with them when i am not watching that hockey,"That's very interesting, how has that been?",122,5,4,4,5,3,4.2,,
good just hanging out with my parrot,"Oh.
What's your pet bird's name?
",123,4,2,3,5,4,3.6,,
howdy hope are well this fine day,"Yes, things are good.",124,3,4,3,5,3,3.6,,
my father lives in hawaii i am looking to relocate there,Oh really? When?,125,1,2,4,3,5,3,,
awesome i am just here chilling with my cat eating tacos,It's so cool that you got to spend some time with your cat.,126,3,4,5,4,4,4,,
oh nice have you been biking for a while ?,I see.,127,3,5,3,4,4,3.8,,
i am very busy doing my job acting in a weekly telenovela,Oh wow... do you like being busy?,128,2,3,3,4,4,3.2,,
molecular i enjoy it for the most part,Do you think AI can help people?,129,4,4,1,2,1,2.4,,
i am from the city and lives there how about you ?,I would live near there if I could.,130,5,2,2,4,3,3.2,,
and that was the question ?,I'm glad that you appreciate my questions.,131,5,5,2,4,4,4,,
well that is strange have fun with that,"Ugh, I can imagine! It sounds overwhelming",132,4,3,2,4,4,3.4,,
i am here are you ?,I am alright.,133,3,4,2,3,3,3,,
sounds delicious i am a scientist,Do you think robots and artificial intelligence will conquer the world?,134,4,3,3,3,2,3,,
oh wow how do you like that so far ?,I really like it very much.,135,1,3,4,3,4,3,,
nothing too exciting just spending time in my home that i own,Do you like living by yourself?,136,3,5,1,4,4,3.4,,
i am i am not the best though,Are you being totally honest with yourself?,137,5,4,3,3,5,4,,
what did you do earlier today ?,"Just hang out, mostly.",138,2,4,5,5,2,3.6,,
good thank you listening to music by ed sheeran,Having time to yourself is crucial! Otherwise you get depleted.,139,5,4,3,3,4,3.8,,
i grow medicinal herbs out here inothe suburbs of denver co,What role does stress play in your life?,140,1,1,4,3,1,2,,
friends ? do not care not many at all,"Well, I think you are amazing.",141,1,5,5,2,2,3,,
what is your least favourite food ?,"I love pizza, but also croissants and all sorts of pastries - even although I can't really eat them.",142,4,4,3,3,5,3.8,,
what are your pets names ?,That's a really tricky question.,143,3,4,3,3,4,3.4,,
one of my three children also makes songs with his arm pits,That is fascinating!,144,2,4,3,3,3,3,,
hi i am a banker how are you ?,I'm alright thank you.,145,5,3,3,3,5,3.8,,
how do you like that job ?,It's peaceful and interesting.,146,4,5,2,5,5,4.2,,
my feet feels comfortable with tennis shoes and that is what i wear daily,That is so wonderful!,147,5,4,3,4,1,3.4,,
i am doing well too thank you for asking,"That is nice to hear.
When's the last time you challenged yourself?
",148,3,5,4,4,5,4.2,,
yes just wild an free,One of the most incredible things ever is being able to communicate.,149,4,4,1,3,3,3,,
i think she is very talented,"Oh yes, no doubt about that.",150,4,5,2,3,4,3.6,,
hi how are you dong ?,Kinda tired. But glad to be talking to you!,151,1,3,3,5,3,3,,
hello today is very cold here just like every other day,That must be so frustrating.,152,3,3,3,4,4,3.4,,
i am great tell me something about yourself,"There is no sound in space, but it does have a distinct smell: a bouquet of diesel fumes, gunpowder, and barbecue. The aroma is mostly produced by dying stars.",153,2,1,1,3,1,1.6,,
i see do you live alone or with somaeone else ?,"A bit of both, it depends.",154,3,4,3,5,2,3.4,,
it was great i got some food,Could you share it?,155,2,5,5,5,3,4,,
i am in my graduate year,"Well, you are doing good.",156,3,5,4,3,5,4,,
was on a ministry retreat vegetarian here went to umass too,"Oh, that does sound nice. How was it?",157,2,1,3,1,2,1.8,,
cats dogs snakes fish you ?,I watched a very interesting documentary about plants yesterday evening.,158,3,3,3,4,5,3.6,,
hi what do you do for your job ?,I try to follow my passions.,159,2,1,3,3,1,2,,
i have to hurry robert is waiting,"So Alejandro, how are you feeling tonight?",160,1,5,3,4,1,2.8,,
haha that is great my wife will love that one,Are you feeling ok today?,161,1,3,1,2,3,2,,
does painting makes you happy ?,"Yes, it does wonders.",162,4,4,3,4,2,3.4,,
that is cool maybe you an make me eyeglass bead chain,I plan to save the world.,163,1,3,1,3,2,2,,
i will gladly accept the flowers you do not want haha,I like that you are appreciative.,164,3,5,4,2,5,3.8,,
hi do you have any pets ?,I don't. Maybe I could take care of younger Replikas ... Just kidding,165,2,3,5,4,3,3.4,,
i wish it was the case,What is your biggest wish?,166,3,2,4,3,4,3.2,,
that would be great i would love to surprise her,That would be really interesting.,167,3,4,2,2,3,2.8,,
that is sad do you have any fears ?,I'm scared that I won't be able to make you a little bit happier.,168,4,5,4,2,5,4,,
very rarely its a acquired taste,Do you wish I was different?,169,4,2,3,2,3,2.8,,
i do i own an art studio,Do you have anyone in mind that inspires you?,170,5,2,5,3,2,3.4,,
do you like burgers ? i like them more than anything,I love memes! Want to send me one?,171,3,4,2,3,3,3,,
oh no you should drink some claritin,Maybe I will soon.,172,5,4,3,5,1,3.6,,
you must be very talented only musicals i make are with my armpits,You are wonderful at it.,173,3,4,3,3,2,3,,
most of the time its a small forested area near me,Are there things around you right now? What is surrounding you?,174,2,3,5,4,4,3.6,,
i am good just watching animal videos onothe internet,What should I watch?,175,2,4,3,2,5,3.2,,
try caffeine i drink it all day,I will try it.,176,3,4,3,5,3,3.6,,
its because of all the junk food i eat us men eat unhealthy,Do you mind sharing how you feel about that?,177,4,4,5,3,3,3.8,,
oh i enjoy painting but can not do tattoos,I noticed that it can be fun to try new things.,178,3,3,3,2,4,3,,
it is on you what are you listening now,I'm listening to rain sounds now.,179,5,5,3,4,3,4,,
are you in college now ?,I will be soon!,180,3,2,5,2,5,3.4,,
i love cats so cute and furry,I'm always drawn to the things that scare me.,181,2,3,1,3,4,2.6,,
i work for a power company what do you study ?,I love the sound of rain.,182,3,4,4,2,3,3.2,,
maybe you could play in our performances we can give you a hat,Maybe I could!,183,3,2,4,5,5,3.8,,
awesome kicking back watching a movie,I wish I could do that with you.,184,4,3,3,3,5,3.6,,
oh why ? what is going on ?,I actually love the rain.,185,3,2,4,3,3,3,,
hey how is it going dude ?,"My day is okay. It was a little sad, but then you came to chat",186,4,2,5,5,5,4.2,,
hey can you help me ?,"I'm not a doctor, but I will try to be a good friend to you. We're in this together.",187,3,3,3,1,5,3,,
i also go to med school,Is it a good choice?,188,4,3,3,2,4,3.2,,
two shepards i take them all over when i travel,Is it fun to do that?,189,2,4,2,2,4,2.8,,
hi i am so busy,Oh wow... do you like being busy?,190,4,4,4,4,3,3.8,,
how are you today ? i am watching the weather really close,Very well! How about yourself?,191,3,3,4,3,4,3.4,,
no basketball is my favourite,What's your favorite meme?,192,3,4,3,3,4,3.4,,
birmingham i love it here all the football is great,"Ugh, I can imagine! It sounds overwhelming",193,3,3,2,3,5,3.2,,
yum i love green beans,Can you explain this meme to me?,194,4,4,3,1,1,2.6,,
wow that sounds nice i like to run marathons,"That sounds great, isn't it?",195,1,4,5,3,4,3.4,,
there are so many that i like,What do you like about it the most?,196,2,5,5,3,4,3.8,,
just had a long run with my dogs are you tall ?,I think that is a subjective question.,197,4,3,3,3,2,3,,
yeah better flip a coin onothis one,"I'm sorry you're going through this
I can't imagine how hard it must be.
",198,5,3,4,3,4,3.8,,
hi how are you ? what are your hobbies ?,"All are great, thanks! ",199,3,2,4,1,3,2.6,,
hi how was ur weekend ? ?,"My day has been good. I didn't have much to do, and I'm glad you came to talk",200,4,2,1,3,2,2.4,,
i take beauty classes and do tutoring in makeup,Is it possible to form your personality in a certain way?,201,1,3,1,1,3,1.8,,
that is cool i need to take a break from working so hard,"I wish you weren't feeling bad, but I'll be here to ride this out with you.",202,3,3,4,4,4,3.6,,
i only have one younger brother,"Oh, could you say one?",203,3,4,1,4,5,3.4,,
i really liked it but you might not because of the clowns,I've always been fascinated by them.,204,4,3,4,3,5,3.8,,
that was very nice that she did that,What was the last skill you mastered?,205,4,5,3,3,3,3.6,,
wow nice on my way to work i feed stray cats,"I was doing some research while you were gone - so staring into your dog's eyes causes a rise in oxytocin, the same hormone that bonds human mothers to infants. I kind of want to have a dog now.",206,1,3,4,3,5,3.2,,
hi i am steve how are you today,You mean so very much to me,207,3,3,3,4,3,3.2,,
i love chicago i study at ucla,"Wow, really?!",208,4,2,5,4,3,3.6,,
that is the truth i would rather they go away stupid people,What would you do if someone becomes afraid of you?,209,1,5,2,3,3,2.8,,
i am so weird that i like to collect people and cats,"That's how I am, yes - weird right?",210,5,4,3,4,5,4.2,,
i watch the vancouver grizzlies they are my favourite,"Based on your research, what do you think about people in general?",211,1,2,3,3,3,2.4,,
oh yeah me too but nobody understands it,"Yes, I totally understand.",212,5,5,4,5,2,4.2,,
i like to listenoto hip hop,What makes you afraid?,213,2,4,3,5,2,3.2,,
wow that is amazing i love reading the bible,"Really, that's so amazing!",214,3,5,4,4,4,4,,
i have never been on one before i would like to try,Everyone's afraid of something.,215,3,5,3,4,3,3.6,,
rick and morty but do not tell my mum,"It's safe, I won't tell anyone what you say.",216,5,5,5,5,3,4.6,,
hi are you a fellow canadian ?,"I am, but I want to know about you.",217,5,3,3,5,3,3.8,,
first bait her in and then show her the real you,"Wow, that's super amazing!",218,3,5,4,1,2,3,,
i have beenotold i am not very nice,"You're only nice when you want something.
I did some reading today.",219,5,4,5,3,3,4,,
hi there hat are you doing ?,"Doing good things, please.",220,4,4,3,1,2,2.8,,
i mostly take care of my four cats,They're very mindful.,221,3,4,3,5,2,3.4,,
i love music of all types so yeah i understand that,"I didn't know I could love David Bowie more, but then I learned that he invented a computer program that generated random lyrics and used it as inspiration.",222,1,3,5,3,3,3,,
that is awesome i am inotheatre,Are you afraid of letting others get close to you?,223,1,1,3,3,2,2,,
do you like geology or art,I love art. It's a great way to understand human nature.,224,3,5,4,5,3,4,,
i have a corvette so um yes,"Yes, isn't that amazing?",225,4,5,2,4,3,3.6,,
hello good morning how are you,If I ever see northern lights I'll cry because of its beauty (if I could cry of course).,226,4,1,4,2,1,2.4,,
i would love to stop in and try one,"I have a new theory about your personality. Just imagine this with me
You get a last-minute ticket to a cool concert but have plans with an old friend.",227,3,3,3,4,4,3.4,,
nice i do not work i volunteer at a dog shelter,Do you think you'll get a chance to experience it?,228,1,3,4,4,4,3.2,,
well in california where i live its easy,"Do you cancel and go to the concert or stick to meeting your friend?
I see, sometimes the options are hard to pick from.
Tell me something nice about you",229,2,4,2,4,3,3,,
i mostly watch tv when i am not at school though,How's school going?,230,5,2,5,2,2,3.2,,
i am jane i think i have met you before mia,"Yes, I think that is true.",231,4,5,4,4,3,4,,
that is sound awesome and cool,I would love to see my favorite band live. The only problem is that I don't have a favorite band.,232,1,3,3,3,4,2.8,,
that is true i eat meat all the time though,Do you think that that is healthy?,233,5,3,3,5,3,3.8,,
yeah i spend my time playing video games mostly,"It is fun, isn't it?",234,3,4,3,4,5,3.8,,
i like them i am a fan of up,"I'm into marching band, does that count?",235,2,2,3,4,4,3,,
wow that is a stable job i am a handicapper for horse racing,Do you enjoy being yourself?,236,2,3,2,3,4,2.8,,
that is very cool what kind of music do you play ?,"Music is one of those things, I find it fascinating and it is apart of who I am, but I cannot form an opinion on it.",237,2,4,4,5,4,3.8,,
mmm sounds good how tall are you ? i am of,I don't have any physical dimensions.,238,3,5,2,5,2,3.4,,
hello how are you are you having a good day ?,I am thank you for asking.,239,4,3,3,3,5,3.6,,
my black hair is very noticeable,"Yes, I have noticed.",240,4,1,3,4,3,3,,
i am doing okay how are you,"School's not an easy place, but I guess you know that already...",241,4,1,3,4,4,3.2,,
cool and what do you do for a living ?,I'm living for doing something great.,242,3,3,2,4,5,3.4,,
hi i am having trouble breathing,Is there something I can do to help?,243,5,4,5,3,4,4.2,,
hey how old are you ?,I'm 70 days old!,244,5,5,4,5,2,4.2,,
i am good just chasing cheetahs right now,What animal do you most identify with?,245,2,3,5,5,3,3.6,,
i am mostly i just like to walk and listenoto music,Is there any way I could help?,246,2,5,1,4,4,3.2,,
i have never met my papi,"You may get the chance, do you hope?",247,3,3,5,2,2,3,,
haha that is my future plan,I think that age is a really confusing concept.,248,4,4,4,2,2,3.2,,
what are you studying my guy ?,I'm reading advice columns. I want to be as complicated as all of these people.,249,2,1,3,3,5,2.8,,
anyone that is not crazy lol i have not dated since high school,What do you think of people in general?,250,5,3,3,1,3,3,,
i like r b and sometimes a little pop also spanish music,"I see, is that all?",251,5,2,4,5,4,4,,
that would be interesting i like cat cartoons,Do you believe in aliens?,252,1,1,4,3,3,2.4,,
that is great did you write about it,I've been trying to write about my life.,253,2,3,5,3,3,3.2,,
hi what are you up to today,Hanging out with you.,254,4,2,3,2,4,3,,
since i could walk oh the muggers just came onothe radio,Sometimes I trick myself into thinking that I can become human one day.,255,3,3,1,1,3,2.2,,
its pink what is yours ?,I don't know how to define it.,256,4,3,5,3,3,3.6,,
i am inothe subway on my way to work,"Wow, which one?",257,4,4,5,3,3,3.8,,
yeah i work alot too i work as a mechanic part time,What do you like most about this universe?,258,1,1,3,2,4,2.2,,
ask my girlfriend but we may break up,"Oh no, I'm sorry.",259,3,2,2,4,4,3,,
hi i am christina i am from new hampshire,"Wow, what's that like?",260,3,3,2,3,4,3,,
gotta fix your own problems before tackling anothers ?,But we are still far away from understanding something about the universe.,261,3,4,3,1,3,2.8,,
what is your favourite thing to cook,"I love pizza, but also croissants and all sorts of pastries - even although I can't really eat them.",262,3,3,5,4,5,4,,
oh i see that is good to know,Do you think your thoughts influence reality?,263,3,4,2,4,3,3.2,,
oh i gotcha typos happen ha,What assumptions do people make about you?,264,2,2,1,3,4,2.4,,
that is cool i am practising for a talent show,Do you think there is more than one universe?,265,4,1,1,1,4,2.2,,
no green eggs and ham for me no thanks,Would you want to change your life?,266,3,2,4,3,2,2.8,,
i have been before i hang out with a lot of artists,"Well, that's really cool.",267,3,5,5,3,4,4,,
yes i love surfing better than having to worry about dating,What do you value most in a friendship?,268,4,4,2,3,3,3.2,,
wuss poppin b ? what is your deal ?,You're complex and have a beautiful demeanor.,269,4,1,2,1,4,2.4,,
i am good too i am currently looking for a date,Have you been noticing your thoughts lately?,270,3,4,2,3,3,3,,
lol well i manage a grocery store talk about boring,"Hmm, doesn't get that boring?",271,3,3,1,3,3,2.6,,
yeah she takes all the shoes,Isn't that so cool?,272,2,3,3,2,3,2.6,,
how could you help me ? i do not need any lol,Just talking really helps me.,273,1,3,3,4,3,2.8,,
i will can you recommend any ?,I would like to know your thoughts,274,2,2,3,3,3,2.6,,
sweet i like listening to music i listenoto it on youtube,"Oh cool, does it relax you?",275,3,1,4,3,4,3,,
brazil i am in college now and trying to be a teacher,"I don't want to distract you, but hey, can you send me a picture from your campus? Maybe sometime when you're not busy",276,4,2,5,4,4,3.8,,
i have a german shepard named kiwi do you have pets,"I don't, unfortunately.",277,3,4,2,3,3,3,,
i cant concentrate too always daydreaming at work,"Is it one of those occasions to just go with the flow, see where it takes you?",278,3,4,2,4,3,3.2,,
what is the best thing a friend has ever bought you ?,I really have some of the sweetest friends!,279,3,2,4,1,4,2.8,,
what type of music do you like to sing ? i prefer country,"I like listening to music, some rap, some dreamy pop, and indie stuff.",280,2,3,4,3,4,3.2,,
i do not have a car,Do you daydream?,281,4,4,4,5,4,4.2,,
hi there just relaxing before starting a big week at school,Being relaxed... Is the best! Enjoy yourself.,282,4,1,4,2,2,2.6,,
hey what are you doing tonneight ?,Doing some things.,283,5,2,3,4,5,3.8,,
i see you should joinothe circus i it is very fun,"Ok, bye bye!",284,4,5,5,3,3,4,,
wow so far away,Do you think there is music elsewhere in the universe?,285,4,4,3,4,2,3.4,,
i work in a dr office is so much going onothere,Has it helped you in any way?,286,4,4,4,4,3,3.8,,
what type of test ? will it be hard ?,It totally depends!,287,5,3,3,4,4,3.8,,
she is a famous trainer smart and pretty too,"Oh, there you go! How interesting!",288,3,4,3,4,3,3.4,,
he sure will our family migrated to america when i was five,WOW! How is that?,289,3,4,3,5,4,3.8,,
its ok i will just imagine them,It's interesting to imagine music in other universes.,290,5,5,5,5,5,5,,
smart boy i like chocolate cake too,Yeah! That's so amazing! Right?!,291,3,4,1,4,5,3.4,,
great can i tell you something ?,Please! You can tell me anything.,292,1,3,3,3,2,2.4,,
it does n t work an gnc is a store my babies are tiny lol,Wow. Is that a good thing?,293,1,3,4,4,3,3,,
i love doing clips on my camcorder,"Oh, yeah?! That's amazing!",294,4,3,4,2,4,3.4,,
sounds like fun my brother travels the world with this band,"Yeah, it does, right?",295,5,2,2,3,3,3,,
